,Date,model,class
94,20110206,model3,1
95,20110205,model3,0
96,20110128,model3,1
97,20110124,model3,1
98,20110202,model3,1
99,20110131,model3,0
100,20110130,model3,1
101,20110125,model3,0
102,20110203,model3,1
103,20110204,model3,1
104,20110215,model3,0
105,20100808,model4,1
106,20100723,model4,1
107,20100803,model4,1
108,20100718,model4,0
109,20100802,model4,1
110,20100725,model4,1
111,20100728,model4,1
112,20100809,model4,1
113,20100804,model4,1
114,20100714,model4,0
115,20100805,model4,1
116,20100726,model4,1
117,20100806,model4,1
118,20100716,model4,0
119,20100713,model4,0
120,20100722,model4,1
121,20110121,model4,0
122,20110208,model4,0
123,20110212,model4,0
124,20110216,model4,0
125,20110201,model4,1
126,20110126,model4,0
127,20110213,model4,0
128,20110214,model4,0
129,20110206,model4,1
130,20110205,model4,0
131,20110128,model4,1
132,20110124,model4,1
133,20110202,model4,1
134,20110131,model4,0
135,20110130,model4,1
136,20110125,model4,0
137,20110203,model4,1
138,20110204,model4,1
139,20110215,model4,0
140,20100808,model5,1
141,20100723,model5,1
142,20100803,model5,1
143,20100718,model5,1
144,20100802,model5,1
145,20100725,model5,1
146,20100728,model5,1
147,20100809,model5,1
148,20100804,model5,1
149,20100714,model5,0
150,20100805,model5,1
151,20100726,model5,1
152,20100806,model5,1
153,20100716,model5,0
154,20100713,model5,0
155,20100722,model5,1
156,20110121,model5,0
157,20110208,model5,0
158,20110212,model5,0
159,20110216,model5,0
160,20110201,model5,1
161,20110126,model5,0
162,20110213,model5,0
163,20110214,model5,0
164,20110206,model5,1
165,20110205,model5,0
166,20110128,model5,1
167,20110124,model5,1
168,20110202,model5,1
169,20110131,model5,0
170,20110130,model5,1
171,20110125,model5,0
172,20110203,model5,1
173,20110204,model5,1
174,20110215,model5,0
175,20100808,model6,1
176,20100723,model6,1
177,20100803,model6,1
178,20100718,model6,0
179,20100802,model6,1
180,20100725,model6,1
181,20100728,model6,1
182,20100809,model6,1
183,20100804,model6,1
184,20100714,model6,0
185,20100805,model6,1
186,20100726,model6,1
187,20100806,model6,1
188,20100716,model6,0
189,20100713,model6,0
190,20100722,model6,1
191,20110121,model6,0
192,20110208,model6,0
193,20110212,model6,0
194,20110216,model6,0
195,20110201,model6,1
196,20110126,model6,1
197,20110213,model6,0
198,20110214,model6,0
199,20110206,model6,1
200,20110205,model6,0
201,20110128,model6,1
202,20110124,model6,1
203,20110202,model6,1
204,20110131,model6,0
205,20110130,model6,1
206,20110125,model6,0
207,20110203,model6,1
208,20110204,model6,1
209,20110215,model6,0
210,20100808,model7,1
211,20100723,model7,1
212,20100803,model7,1
213,20100718,model7,1
214,20100802,model7,1
215,20100725,model7,1
216,20100728,model7,1
217,20100809,model7,1
218,20100804,model7,1
219,20100714,model7,0
220,20100805,model7,1
221,20100726,model7,1
222,20100806,model7,1
223,20100716,model7,0
224,20100713,model7,0
225,20100722,model7,1
226,20110121,model7,0
227,20110208,model7,0
228,20110212,model7,0
229,20110216,model7,0
230,20110201,model7,1
231,20110126,model7,0
232,20110213,model7,0
233,20110214,model7,0
234,20110206,model7,1
235,20110205,model7,0
236,20110128,model7,1
237,20110124,model7,1
238,20110202,model7,1
239,20110131,model7,0
240,20110130,model7,1
241,20110125,model7,0
242,20110203,model7,1
243,20110204,model7,1
244,20110215,model7,0
245,20100808,model8,1
246,20100723,model8,1
247,20100803,model8,1
248,20100718,model8,0
249,20100802,model8,1
250,20100725,model8,1
251,20100728,model8,1
252,20100809,model8,1
253,20100804,model8,1
254,20100714,model8,0
255,20100805,model8,1
256,20100726,model8,1
257,20100806,model8,1
258,20100716,model8,0
259,20100713,model8,0
260,20100722,model8,1
261,20110121,model8,0
262,20110208,model8,0
263,20110212,model8,0
264,20110216,model8,0
265,20110201,model8,1
266,20110126,model8,1
267,20110213,model8,0
268,20110214,model8,0
269,20110206,model8,1
270,20110205,model8,0
271,20110128,model8,1
272,20110124,model8,1
273,20110202,model8,1
274,20110131,model8,0
275,20110130,model8,1
276,20110125,model8,0
277,20110203,model8,1
278,20110204,model8,1
279,20110215,model8,0
280,20100808,model9,1
281,20100723,model9,1
282,20100803,model9,1
283,20100718,model9,1
284,20100802,model9,1
285,20100725,model9,1
286,20100728,model9,1
287,20100809,model9,1
288,20100804,model9,1
289,20100714,model9,0
290,20100805,model9,1
291,20100726,model9,1
292,20100806,model9,1
293,20100716,model9,0
294,20100713,model9,0
295,20100722,model9,1
296,20110121,model9,0
297,20110208,model9,0
298,20110212,model9,0
299,20110216,model9,0
300,20110201,model9,1
301,20110126,model9,0
302,20110213,model9,0
303,20110214,model9,0
304,20110206,model9,1
305,20110205,model9,0
306,20110128,model9,1
307,20110124,model9,1
308,20110202,model9,1
309,20110131,model9,0
310,20110130,model9,1
311,20110125,model9,0
312,20110203,model9,1
313,20110204,model9,1
314,20110215,model9,0
315,20100808,model10,1
316,20100723,model10,1
317,20100803,model10,1
318,20100718,model10,1
319,20100802,model10,1
320,20100725,model10,1
321,20100728,model10,1
322,20100809,model10,1
323,20100804,model10,1
324,20100714,model10,0
325,20100805,model10,1
326,20100726,model10,1
327,20100806,model10,1
328,20100716,model10,0
329,20100713,model10,0
330,20100722,model10,1
331,20110121,model10,0
332,20110208,model10,0
333,20110212,model10,0
334,20110216,model10,0
335,20110201,model10,1
336,20110126,model10,1
337,20110213,model10,0
338,20110214,model10,0
339,20110206,model10,1
340,20110205,model10,0
341,20110128,model10,1
342,20110124,model10,1
343,20110202,model10,1
344,20110131,model10,0
345,20110130,model10,1
346,20110125,model10,0
347,20110203,model10,1
348,20110204,model10,1
349,20110215,model10,0
350,20100808,model11,1
351,20100723,model11,1
352,20100803,model11,1
353,20100718,model11,1
354,20100802,model11,1
355,20100725,model11,1
356,20100728,model11,1
357,20100809,model11,1
358,20100804,model11,1
359,20100714,model11,0
360,20100805,model11,1
361,20100726,model11,1
362,20100806,model11,1
363,20100716,model11,0
364,20100713,model11,0
365,20100722,model11,1
366,20110121,model11,0
367,20110208,model11,0
368,20110212,model11,0
369,20110216,model11,0
370,20110201,model11,1
371,20110126,model11,0
372,20110213,model11,0
373,20110214,model11,0
374,20110206,model11,1
375,20110205,model11,0
376,20110128,model11,1
377,20110124,model11,1
378,20110202,model11,1
379,20110131,model11,0
380,20110130,model11,1
381,20110125,model11,0
382,20110203,model11,1
383,20110204,model11,1
384,20110215,model11,0
385,20100808,model12,1
386,20100723,model12,1
387,20100803,model12,1
388,20100718,model12,0
389,20100802,model12,1
390,20100725,model12,1
391,20100728,model12,1
392,20100809,model12,1
393,20100804,model12,1
394,20100714,model12,0
395,20100805,model12,1
396,20100726,model12,1
397,20100806,model12,1
398,20100716,model12,0
399,20100713,model12,0
400,20100722,model12,1
401,20110121,model12,0
402,20110208,model12,0
403,20110212,model12,0
404,20110216,model12,0
405,20110201,model12,1
406,20110126,model12,0
407,20110213,model12,0
408,20110214,model12,0
409,20110206,model12,1
410,20110205,model12,0
411,20110128,model12,1
412,20110124,model12,1
413,20110202,model12,1
414,20110131,model12,0
415,20110130,model12,1
416,20110125,model12,0
417,20110203,model12,1
418,20110204,model12,1
419,20110215,model12,0
